merchant,description,amount,timestamp,label
Paytm Mall,Paytm Mall Online shopping,1361.23,2025-01-30T22:21:03.536751,Shopping
Shell,Shell Fuel station,3300.39,2025-05-08T13:46:41.536751,Fuel
Starbucks,Starbucks Coffee and snacks,4939.52,2024-12-22T05:01:28.536751,Food
Paytm Mall,Paytm Mall.com purchase,4211.27,2025-09-12T07:03:31.536751,Shopping
Starbucks,Starbucks POS 734,884.77,2025-08-13T04:33:22.536751,Food
Uber,Uber PAYMENT,2561.38,2025-03-06T06:32:10.536751,Travel
Shell,Shell.com purchase,1124.0,2025-04-12T04:44:20.536751,Fuel
Amazon,Amazon Online shopping,2827.59,2025-11-18T02:17:02.536751,Shopping
Starbucks,Starbucks PAYMENT,3580.09,2025-07-09T15:19:50.536751,Food
Zomato,Zomato online order 869,3352.19,2025-07-10T14:49:56.536751,Food
Zomato,Zomato Food delivery,3287.04,2024-12-08T03:45:28.536751,Food
Swiggy,Swiggy online order 322,510.57,2025-03-15T05:59:51.536751,Food
Zomato,Zomato - Food delivery Store #6189,4439.88,2025-01-11T03:32:10.536751,Food
Paytm Mall,Paytm Mall.com purchase,981.11,2025-04-22T22:37:00.536751,Shopping
Walmart,Walmart PAYMENT,1844.96,2025-09-29T23:33:24.536751,Groceries
BigBasket,BigBasket POS 807,2535.22,2025-01-19T17:12:51.536751,Groceries
HP Petrol,HP Petrol online order 611,4071.07,2025-01-08T12:24:56.536751,Fuel
Walmart,Walmart Grocery store,2693.37,2025-11-03T19:47:39.536751,Groceries
HP Petrol,HP Petrol PAYMENT,4902.08,2025-01-28T12:18:02.536751,Fuel
Swiggy,Swiggy POS 427,1048.03,2025-11-16T23:28:26.536751,Food
Walmart,Walmart.com purchase,1763.89,2025-01-11T08:10:36.536751,Groceries
Flipkart,Flipkart online order 588,919.68,2025-09-17T22:45:46.536751,Shopping
Netflix,Netflix.com purchase,3873.9,2025-01-10T03:01:14.536751,Entertainment
Uber,Uber POS 938,1453.68,2025-10-08T23:09:23.536751,Travel
Uber,Uber POS 420,4916.08,2024-11-27T23:45:08.536751,Travel
Starbucks,Starbucks.com purchase,4976.16,2025-06-03T16:38:11.536751,Food
Paytm Mall,Paytm Mall online order 379,2941.14,2025-10-01T22:27:14.536751,Shopping
Starbucks,Starbucks PAYMENT,3896.04,2025-11-20T01:25:39.536751,Food
Netflix,Netflix Streaming subscription,1848.16,2025-08-19T20:53:27.536751,Entertainment
Flipkart,Flipkart PAYMENT,3282.3,2025-04-15T01:38:36.536751,Shopping
Netflix,Netflix PAYMENT,2945.13,2024-11-27T00:27:02.536751,Entertainment
Uber,Uber.com purchase,54.37,2025-04-29T07:56:13.536751,Travel
Swiggy,Swiggy - Food delivery Store #219,806.21,2025-05-19T18:23:31.536751,Food
Shell,Shell online order 567,66.04,2025-01-21T00:42:49.536751,Fuel
Netflix,Netflix POS 578,3039.44,2025-09-28T22:05:26.536751,Entertainment
Dominos,Dominos PAYMENT,4704.41,2025-08-19T21:32:44.536751,Food
Uber,Uber POS 969,1484.04,2025-07-31T02:11:16.536751,Travel
Starbucks,Starbucks - Coffee and snacks Store #4539,734.56,2025-05-19T11:17:16.536751,Food
Swiggy,Swiggy online order 173,1838.11,2024-12-09T11:43:00.536751,Food
HP Petrol,HP Petrol PAYMENT,185.68,2025-09-26T13:57:20.536751,Fuel
Paytm Mall,Paytm Mall Online shopping,1692.46,2025-02-20T01:57:16.536751,Shopping
Shell,Shell - Fuel station Store #4368,342.33,2025-03-26T08:25:22.536751,Fuel
Zomato,Zomato Food delivery,3156.08,2025-02-20T07:59:21.536751,Food
Starbucks,Starbucks Coffee and snacks,2909.28,2025-04-09T10:12:01.536751,Food
Netflix,Netflix.com purchase,2803.06,2025-06-28T09:14:53.536751,Entertainment
HP Petrol,HP Petrol PAYMENT,504.86,2025-11-21T14:35:08.536751,Fuel
Starbucks,Starbucks PAYMENT,1620.24,2025-10-13T06:06:53.536751,Food
Amazon,Amazon.com purchase,591.59,2025-07-25T18:32:00.536751,Shopping
Swiggy,Swiggy online order 625,1663.63,2025-07-16T00:00:10.536751,Food
Amazon,Amazon PAYMENT,3003.81,2025-05-28T23:31:32.536751,Shopping
Walmart,Walmart - Grocery store Store #8098,2736.15,2025-06-24T17:21:27.536751,Groceries
Uber,Uber - Cab ride Store #6374,3520.16,2025-10-08T23:12:02.536751,Travel
BigBasket,BigBasket PAYMENT,2690.36,2025-05-20T10:22:25.536751,Groceries
Starbucks,Starbucks PAYMENT,2798.89,2025-06-30T11:20:17.536751,Food
Swiggy,Swiggy POS 537,1664.4,2025-09-02T08:32:21.536751,Food
Walmart,Walmart Grocery store,4305.27,2025-04-01T22:32:36.536751,Groceries
HP Petrol,HP Petrol online order 748,704.15,2024-12-01T03:33:17.536751,Fuel
Zomato,Zomato Food delivery,2174.77,2024-11-22T19:14:58.536751,Food
BigBasket,BigBasket online order 324,4670.98,2025-11-14T09:15:39.536751,Groceries
HP Petrol,HP Petrol - Fuel station Store #5292,1633.71,2025-04-03T23:04:07.536751,Fuel
Dominos,Dominos online order 881,4424.76,2025-02-20T14:49:19.536751,Food
Swiggy,Swiggy online order 532,580.08,2025-01-06T23:00:10.536751,Food
Uber,Uber POS 436,1303.54,2025-07-02T18:05:37.536751,Travel
Zomato,Zomato online order 45,733.17,2025-03-03T18:12:01.536751,Food
Uber,Uber POS 185,1618.68,2024-12-14T04:21:52.536751,Travel
Paytm Mall,Paytm Mall online order 281,402.25,2025-10-20T01:36:01.536751,Shopping
Starbucks,Starbucks.com purchase,4350.98,2025-08-27T14:39:02.536751,Food
Dominos,Dominos online order 892,4441.69,2025-10-03T07:25:18.536751,Food
Netflix,Netflix online order 342,4276.7,2025-05-05T05:21:23.536751,Entertainment
HP Petrol,HP Petrol PAYMENT,2683.95,2025-01-11T10:34:31.536751,Fuel
Swiggy,Swiggy online order 187,3292.73,2025-07-16T20:59:33.536751,Food
Dominos,Dominos POS 729,4265.44,2025-01-06T05:33:24.536751,Food
Shell,Shell POS 731,320.1,2025-11-17T15:10:48.536751,Fuel
Shell,Shell Fuel station,4087.29,2025-04-29T19:23:54.536751,Fuel
Paytm Mall,Paytm Mall online order 18,250.27,2025-03-04T00:41:55.536751,Shopping
Dominos,Dominos online order 52,3649.53,2025-02-24T04:23:49.536751,Food
HP Petrol,HP Petrol online order 874,2622.6,2025-05-06T22:52:35.536751,Fuel
Flipkart,Flipkart - Online shopping Store #1413,2737.86,2025-06-29T11:04:09.536751,Shopping
Swiggy,Swiggy online order 107,4115.85,2025-08-23T03:35:08.536751,Food
BigBasket,BigBasket - Grocery order Store #1243,27.24,2024-12-14T16:05:12.536751,Groceries
Starbucks,Starbucks.com purchase,3408.62,2025-06-25T10:36:09.536751,Food
Walmart,Walmart - Grocery store Store #2793,1388.4,2025-11-17T20:34:21.536751,Groceries
Amazon,Amazon PAYMENT,677.84,2024-11-23T16:22:44.536751,Shopping
Flipkart,Flipkart.com purchase,265.28,2025-08-14T13:57:06.536751,Shopping
Amazon,Amazon.com purchase,4500.04,2025-02-25T12:56:45.536751,Shopping
Walmart,Walmart online order 181,1284.44,2025-07-18T15:00:25.536751,Groceries
Paytm Mall,Paytm Mall - Online shopping Store #8770,4412.83,2025-05-20T05:11:01.536751,Shopping
Starbucks,Starbucks - Coffee and snacks Store #7040,1685.98,2025-06-16T20:46:43.536751,Food
Dominos,Dominos online order 56,2602.51,2025-04-16T18:12:31.536751,Food
HP Petrol,HP Petrol - Fuel station Store #9873,2211.77,2025-03-21T08:18:12.536751,Fuel
Starbucks,Starbucks - Coffee and snacks Store #2319,4120.52,2025-09-21T08:43:35.536751,Food
Uber,Uber PAYMENT,1335.32,2025-05-02T05:34:55.536751,Travel
Dominos,Dominos.com purchase,2565.88,2024-12-22T06:43:32.536751,Food
Dominos,Dominos.com purchase,1869.47,2025-04-06T18:50:03.536751,Food
Netflix,Netflix - Streaming subscription Store #5473,293.56,2025-11-15T03:37:00.536751,Entertainment
Starbucks,Starbucks.com purchase,4746.91,2025-01-14T05:59:42.536751,Food
HP Petrol,HP Petrol.com purchase,3016.28,2025-07-15T07:58:42.536751,Fuel
Amazon,Amazon Online shopping,2980.83,2025-06-04T22:38:24.536751,Shopping
BigBasket,BigBasket PAYMENT,2222.84,2024-11-27T15:55:45.536751,Groceries
HP Petrol,HP Petrol - Fuel station Store #1761,1960.91,2025-11-13T23:10:20.536751,Fuel
Flipkart,Flipkart POS 367,4605.95,2025-11-04T16:39:34.536751,Shopping
Shell,Shell online order 515,2833.06,2024-12-19T13:35:15.536751,Fuel
Zomato,Zomato - Food delivery Store #9369,2193.7,2025-03-25T08:19:54.536751,Food
Dominos,Dominos.com purchase,2059.55,2024-12-26T14:00:27.536751,Food
Netflix,Netflix - Streaming subscription Store #8584,3574.44,2024-12-01T23:35:05.536751,Entertainment
Amazon,Amazon.com purchase,2103.06,2024-12-28T12:27:35.536751,Shopping
Walmart,Walmart POS 860,3423.76,2024-12-11T09:12:05.536751,Groceries
Amazon,Amazon - Online shopping Store #6153,1100.98,2024-12-20T17:38:31.536751,Shopping
Dominos,Dominos POS 384,838.0,2025-01-17T11:28:00.536751,Food
Swiggy,Swiggy PAYMENT,4989.07,2025-02-21T00:13:17.536751,Food
Amazon,Amazon Online shopping,4825.61,2025-06-26T04:37:46.536751,Shopping
BigBasket,BigBasket - Grocery order Store #1335,2988.87,2025-08-28T05:41:22.536751,Groceries
Starbucks,Starbucks POS 879,4442.56,2025-10-22T11:54:38.536751,Food
Paytm Mall,Paytm Mall POS 335,516.68,2025-05-29T12:07:30.536751,Shopping
BigBasket,BigBasket PAYMENT,802.78,2025-05-17T10:34:56.536751,Groceries
Shell,Shell online order 400,4427.3,2025-07-02T18:50:15.536751,Fuel
Starbucks,Starbucks POS 862,4833.48,2025-03-02T06:16:05.536751,Food
Dominos,Dominos.com purchase,2407.15,2025-02-22T15:09:59.536751,Food
BigBasket,BigBasket online order 855,1391.67,2025-02-25T23:26:43.536751,Groceries
Uber,Uber POS 221,3884.64,2025-03-25T17:51:08.536751,Travel
Netflix,Netflix PAYMENT,1203.81,2025-06-21T20:25:33.536751,Entertainment
Uber,Uber PAYMENT,893.33,2024-12-08T09:59:54.536751,Travel
Uber,Uber Cab ride,2185.73,2025-06-18T04:18:38.536751,Travel
Starbucks,Starbucks POS 900,1427.86,2025-06-11T16:54:49.536751,Food
Amazon,Amazon POS 872,1797.53,2025-05-05T19:50:33.536751,Shopping
Paytm Mall,Paytm Mall online order 8,4638.39,2025-04-26T06:12:03.536751,Shopping
Netflix,Netflix online order 817,4892.24,2025-11-17T01:10:13.536751,Entertainment
Netflix,Netflix - Streaming subscription Store #6383,4433.91,2025-02-23T05:56:46.536751,Entertainment
Walmart,Walmart.com purchase,2358.58,2025-02-01T03:18:24.536751,Groceries
HP Petrol,HP Petrol Fuel station,3578.11,2025-06-03T20:04:24.536751,Fuel
Swiggy,Swiggy.com purchase,3952.68,2025-09-02T05:47:19.536751,Food
Shell,Shell POS 291,2349.7,2024-12-15T23:31:42.536751,Fuel
Amazon,Amazon PAYMENT,3087.37,2025-10-22T18:53:00.536751,Shopping
Amazon,Amazon.com purchase,805.9,2024-12-11T08:48:13.536751,Shopping
Swiggy,Swiggy Food delivery,4452.21,2025-04-12T05:26:13.536751,Food
Flipkart,Flipkart Online shopping,3210.54,2025-03-30T19:34:46.536751,Shopping
Walmart,Walmart online order 985,3590.07,2025-03-21T22:21:11.536751,Groceries
Starbucks,Starbucks.com purchase,1014.07,2025-05-10T03:59:36.536751,Food
Amazon,Amazon Online shopping,3344.14,2025-08-25T00:01:53.536751,Shopping
Zomato,Zomato POS 603,3433.58,2025-10-31T04:44:10.536751,Food
Walmart,Walmart - Grocery store Store #2480,1087.88,2025-10-20T09:37:00.536751,Groceries
Starbucks,Starbucks PAYMENT,219.6,2025-01-03T02:45:59.536751,Food
Netflix,Netflix PAYMENT,1920.43,2025-10-16T11:34:31.536751,Entertainment
Amazon,Amazon online order 961,4789.03,2025-11-01T19:33:55.536751,Shopping
Starbucks,Starbucks POS 435,3700.12,2025-01-06T14:29:30.536751,Food
Uber,Uber.com purchase,66.67,2025-11-19T00:43:28.536751,Travel
Paytm Mall,Paytm Mall Online shopping,213.86,2024-11-25T07:14:43.536751,Shopping
Paytm Mall,Paytm Mall.com purchase,3371.25,2025-08-11T06:02:40.536751,Shopping
Amazon,Amazon online order 81,1110.47,2025-03-25T09:34:38.536751,Shopping
Swiggy,Swiggy Food delivery,1296.67,2025-05-22T11:00:49.536751,Food
Starbucks,Starbucks online order 202,11.88,2024-11-23T18:22:57.536751,Food
Uber,Uber - Cab ride Store #995,2640.82,2024-12-01T12:27:51.536751,Travel
Shell,Shell PAYMENT,3563.4,2025-02-22T23:04:28.536751,Fuel
Flipkart,Flipkart online order 750,4578.1,2025-01-06T08:00:50.536751,Shopping
Flipkart,Flipkart.com purchase,4200.42,2025-04-30T17:20:07.536751,Shopping
Paytm Mall,Paytm Mall PAYMENT,4454.45,2025-11-21T15:08:51.536751,Shopping
BigBasket,BigBasket Grocery order,370.16,2025-05-12T02:56:25.536751,Groceries
HP Petrol,HP Petrol Fuel station,807.25,2025-04-23T09:36:50.536751,Fuel
Zomato,Zomato PAYMENT,3382.7,2025-03-17T18:00:12.536751,Food
Paytm Mall,Paytm Mall PAYMENT,4099.31,2025-11-15T06:07:44.536751,Shopping
Starbucks,Starbucks - Coffee and snacks Store #7777,4590.56,2025-09-15T22:05:51.536751,Food
Dominos,Dominos.com purchase,4618.48,2024-12-02T17:01:47.536751,Food
Netflix,Netflix Streaming subscription,3566.23,2025-01-18T05:42:17.536751,Entertainment
HP Petrol,HP Petrol.com purchase,1846.76,2025-10-21T20:21:14.536751,Fuel
Paytm Mall,Paytm Mall PAYMENT,1466.35,2025-08-20T05:11:26.536751,Shopping
Dominos,Dominos POS 249,963.61,2025-10-09T18:31:02.536751,Food
Starbucks,Starbucks Coffee and snacks,2463.69,2024-12-23T11:24:08.536751,Food
BigBasket,BigBasket Grocery order,2790.63,2025-04-03T06:04:41.536751,Groceries
Netflix,Netflix online order 981,2271.87,2025-06-11T07:53:37.536751,Entertainment
Starbucks,Starbucks Coffee and snacks,991.9,2025-01-18T21:56:54.536751,Food
Walmart,Walmart online order 507,1628.54,2025-06-04T08:25:45.536751,Groceries
HP Petrol,HP Petrol.com purchase,1995.78,2025-06-13T23:45:46.536751,Fuel
Swiggy,Swiggy Food delivery,118.31,2025-06-23T08:51:53.536751,Food
Walmart,Walmart - Grocery store Store #5843,4619.32,2025-10-30T12:07:40.536751,Groceries
Swiggy,Swiggy.com purchase,4636.69,2025-06-18T20:17:23.536751,Food
Uber,Uber.com purchase,1624.75,2025-04-25T07:59:14.536751,Travel
Flipkart,Flipkart POS 802,1811.93,2024-11-24T12:56:52.536751,Shopping
Netflix,Netflix - Streaming subscription Store #5700,2623.72,2025-01-22T04:22:51.536751,Entertainment
Netflix,Netflix.com purchase,225.13,2025-03-27T21:23:42.536751,Entertainment
Walmart,Walmart Grocery store,1272.91,2025-02-27T03:50:44.536751,Groceries
Shell,Shell online order 571,2023.99,2025-03-14T08:48:40.536751,Fuel
Zomato,Zomato online order 221,762.49,2025-01-12T12:15:04.536751,Food
Shell,Shell online order 371,3651.23,2025-11-18T20:55:44.536751,Fuel
Walmart,Walmart.com purchase,4956.07,2025-07-30T00:48:17.536751,Groceries
Flipkart,Flipkart Online shopping,1004.46,2025-07-23T14:47:42.536751,Shopping
Amazon,Amazon PAYMENT,4325.23,2025-01-19T17:04:11.536751,Shopping
HP Petrol,HP Petrol.com purchase,4012.28,2025-09-07T10:43:46.536751,Fuel
Paytm Mall,Paytm Mall Online shopping,1344.95,2025-03-17T11:33:30.536751,Shopping
Netflix,Netflix - Streaming subscription Store #7964,2687.44,2025-04-16T23:00:21.536751,Entertainment
Paytm Mall,Paytm Mall Online shopping,4919.86,2025-10-17T21:30:46.536751,Shopping
HP Petrol,HP Petrol.com purchase,1135.69,2025-07-13T04:19:22.536751,Fuel
HP Petrol,HP Petrol.com purchase,2892.58,2025-07-21T00:41:51.536751,Fuel
Paytm Mall,Paytm Mall - Online shopping Store #6510,155.0,2025-07-08T06:33:23.536751,Shopping
Starbucks,Starbucks PAYMENT,2684.11,2024-12-28T23:48:12.536751,Food
Zomato,Zomato online order 877,4556.52,2025-03-23T23:15:49.536751,Food
Netflix,Netflix - Streaming subscription Store #4199,2715.62,2025-03-22T00:44:09.536751,Entertainment
Swiggy,Swiggy - Food delivery Store #8896,1596.54,2025-09-23T15:30:55.536751,Food
Uber,Uber PAYMENT,2695.5,2025-04-23T15:34:37.536751,Travel
Dominos,Dominos Pizza restaurant,4484.3,2025-04-04T11:00:56.536751,Food
Swiggy,Swiggy POS 645,4814.04,2025-03-10T04:24:56.536751,Food
Starbucks,Starbucks online order 292,1665.46,2025-05-03T07:05:13.536751,Food
Paytm Mall,Paytm Mall POS 694,496.91,2025-03-07T12:33:05.536751,Shopping
Paytm Mall,Paytm Mall POS 679,2607.74,2025-05-21T09:36:51.536751,Shopping
BigBasket,BigBasket PAYMENT,1147.43,2025-08-03T14:54:54.536751,Groceries
BigBasket,BigBasket - Grocery order Store #5239,3571.43,2025-11-05T10:48:50.536751,Groceries
BigBasket,BigBasket - Grocery order Store #927,4040.91,2025-09-29T19:32:06.536751,Groceries
Amazon,Amazon online order 626,1213.81,2024-12-09T02:06:17.536751,Shopping
Paytm Mall,Paytm Mall - Online shopping Store #8145,952.75,2025-07-27T13:44:22.536751,Shopping
Amazon,Amazon.com purchase,3663.71,2025-09-07T20:49:04.536751,Shopping
BigBasket,BigBasket Grocery order,4853.46,2025-01-08T11:03:57.536751,Groceries
Paytm Mall,Paytm Mall.com purchase,4630.17,2025-01-26T17:00:15.536751,Shopping
HP Petrol,HP Petrol online order 487,4458.54,2025-06-09T21:45:41.536751,Fuel
Zomato,Zomato Food delivery,3897.0,2025-09-02T01:17:11.536751,Food
Swiggy,Swiggy online order 579,2198.07,2025-10-07T00:35:49.536751,Food
Flipkart,Flipkart.com purchase,3261.77,2025-05-29T03:55:11.536751,Shopping
Flipkart,Flipkart PAYMENT,3430.09,2025-10-25T12:28:31.536751,Shopping
Zomato,Zomato Food delivery,272.4,2025-02-16T03:01:38.536751,Food
Shell,Shell - Fuel station Store #4333,1662.91,2025-07-21T15:49:02.536751,Fuel
Swiggy,Swiggy - Food delivery Store #9980,2900.71,2024-11-30T12:36:39.536751,Food
Zomato,Zomato online order 863,2388.53,2025-02-22T02:08:18.536751,Food
Shell,Shell Fuel station,3590.45,2025-05-13T17:49:00.536751,Fuel
HP Petrol,HP Petrol Fuel station,3416.75,2025-05-05T12:59:15.536751,Fuel
Walmart,Walmart Grocery store,2334.6,2025-07-26T17:15:44.536751,Groceries
Paytm Mall,Paytm Mall - Online shopping Store #2001,1986.81,2025-10-21T07:53:46.536751,Shopping
Walmart,Walmart online order 680,636.81,2025-09-07T19:36:52.536751,Groceries
BigBasket,BigBasket Grocery order,3582.35,2025-02-07T10:02:23.536751,Groceries
Swiggy,Swiggy - Food delivery Store #6102,2336.13,2025-09-01T08:21:23.536751,Food
HP Petrol,HP Petrol.com purchase,2133.07,2025-03-17T04:09:14.536751,Fuel
Starbucks,Starbucks online order 315,2943.06,2025-09-29T06:30:52.536751,Food
Shell,Shell POS 779,2221.91,2025-09-14T08:25:22.536751,Fuel
Uber,Uber online order 165,2563.47,2025-04-24T21:34:46.536751,Travel
Amazon,Amazon PAYMENT,4357.66,2025-08-15T02:21:43.536751,Shopping
Uber,Uber Cab ride,1582.17,2025-07-01T01:20:29.536751,Travel
Amazon,Amazon PAYMENT,2293.15,2025-11-03T01:49:34.536751,Shopping
Netflix,Netflix online order 269,4112.52,2025-09-23T07:24:10.536751,Entertainment
Shell,Shell online order 691,4057.65,2025-11-13T14:38:16.536751,Fuel
Netflix,Netflix - Streaming subscription Store #2462,1558.46,2025-06-13T20:29:17.536751,Entertainment
Walmart,Walmart online order 4,637.38,2025-07-08T11:56:06.536751,Groceries
